臺灣銀行　存放款利率歷史資料表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10404,,0.170,,0.330,0.880,0.880,0.940,0.940,1.125,1.115,1.240,1.230,1.355,1.345,1.400,1.370,1.425,1.395,1.380,1.370,1.425,1.395,1.470,1.445,,1.419,,1.419,,2.896
10405,,0.170,,0.330,0.880,0.880,0.940,0.940,1.125,1.115,1.240,1.230,1.355,1.345,1.400,1.370,1.425,1.395,1.380,1.370,1.425,1.395,1.470,1.445,,1.419,,1.419,,2.896
10406,,0.170,,0.330,0.880,0.880,0.940,0.940,1.125,1.115,1.240,1.230,1.355,1.345,1.400,1.370,1.425,1.395,1.380,1.370,1.425,1.395,1.470,1.445,,1.419,,1.419,,2.896
10407,,0.170,,0.330,0.880,0.880,0.940,0.940,1.125,1.115,1.240,1.230,1.355,1.345,1.400,1.370,1.425,1.395,1.380,1.370,1.425,1.395,1.470,1.445,,1.419,,1.419,,2.896
10408,,0.170,,0.330,0.880,0.880,0.940,0.940,1.125,1.115,1.240,1.230,1.355,1.345,1.400,1.370,1.425,1.395,1.380,1.370,1.425,1.395,1.470,1.445,,1.419,,1.419,,2.896
10409,,0.150,,0.310,0.810,0.810,0.870,0.870,1.055,1.045,1.170,1.160,1.285,1.275,1.325,1.300,1.350,1.325,1.310,1.300,1.350,1.325,1.395,1.375,,1.419,,1.419,,2.896
10410,,0.150,,0.310,0.810,0.810,0.870,0.870,1.055,1.045,1.170,1.160,1.285,1.275,1.325,1.300,1.350,1.325,1.310,1.300,1.350,1.325,1.395,1.375,,1.419,,1.342,,2.896
10411,,0.150,,0.310,0.810,0.810,0.870,0.870,1.055,1.045,1.170,1.160,1.285,1.275,1.325,1.300,1.350,1.325,1.310,1.300,1.350,1.325,1.395,1.375,,1.419,,1.342,,2.826
10412,,0.130,,0.290,0.740,0.740,0.800,0.800,0.955,0.975,1.070,1.090,1.205,1.205,1.225,1.230,1.250,1.255,1.230,1.230,1.250,1.255,1.295,1.305,,1.342,,1.342,,2.826
10501,,0.130,,0.290,0.740,0.740,0.800,0.800,0.955,0.975,1.070,1.090,1.205,1.205,1.225,1.230,1.250,1.255,1.230,1.230,1.250,1.255,1.295,1.305,,1.342,,1.257,,2.826
10502,,0.130,,0.290,0.740,0.740,0.800,0.800,0.955,0.975,1.070,1.090,1.205,1.205,1.225,1.230,1.250,1.255,1.230,1.230,1.250,1.255,1.295,1.305,,1.342,,1.257,,2.756
10503,,0.110,,0.260,0.670,0.670,0.730,0.730,0.875,0.905,0.990,1.020,1.125,1.135,1.130,1.160,1.155,1.185,1.150,1.160,1.155,1.185,1.205,1.235,,1.342,,1.257,,2.756
10504,,0.110,,0.260,0.670,0.670,0.730,0.730,0.875,0.905,0.990,1.020,1.125,1.135,1.130,1.160,1.155,1.185,1.150,1.160,1.155,1.185,1.205,1.235,,1.342,,1.174,,2.756
10505,,0.110,,0.260,0.670,0.670,0.730,0.730,0.875,0.905,0.990,1.020,1.125,1.135,1.130,1.160,1.155,1.185,1.150,1.160,1.155,1.185,1.205,1.235,,1.342,,1.174,,2.686
10506,,0.110,,0.260,0.670,0.670,0.730,0.730,0.875,0.905,0.990,1.020,1.125,1.135,1.130,1.160,1.155,1.185,1.150,1.160,1.155,1.185,1.205,1.235,,1.174,,1.174,,2.686
10507,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.174,,1.089,,2.686
10508,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.174,,1.089,,2.616
10509,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10510,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10511,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10512,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10601,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10602,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10603,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10604,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10605,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10606,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10607,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10608,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10609,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10610,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10611,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10612,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10701,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10702,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10703,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10704,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10705,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10706,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10707,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10708,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10709,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10710,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10711,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10712,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10801,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10802,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10803,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10804,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10805,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10806,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10807,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10808,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10809,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10810,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10811,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10812,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10901,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10902,,0.080,,0.200,0.600,0.600,0.630,0.660,0.795,0.835,0.910,0.950,1.035,1.065,1.040,1.090,1.065,1.115,1.070,1.090,1.075,1.115,1.115,1.165,,1.089,,1.089,,2.616
10903,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,1.089,,1.089,,2.616
10904,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,1.089,,0.816,,2.616
10905,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,1.089,,0.816,,2.366
10906,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
10907,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
10908,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
10909,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
10910,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
10911,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
10912,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11001,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11002,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11003,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11004,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11005,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11006,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11007,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11008,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11009,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11010,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11011,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11012,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11101,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11102,,0.040,,0.100,0.350,0.350,0.380,0.410,0.535,0.585,0.650,0.700,0.755,0.815,0.760,0.820,0.765,0.825,0.790,0.840,0.795,0.845,0.815,0.865,,0.816,,0.816,,2.366
11103,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.050,1.100,1.065,1.115,1.070,1.090,1.085,1.125,1.115,1.155,,0.816,,0.816,,2.366
11104,,0.080,,0.200,0.600,0.600,0.630,0.660,0.785,0.835,0.900,0.950,1.035,1.065,1.050,1.100,1.065,1.115,1.070,1.090,1.085,1.125,1.115,1.155,,0.816,,1.090,,2.366